id,获赞数,评论数,分享数,上架时间,title,字幕
61,211,16,12,2020-04-21 20:35:26,"《当你又忙又美,何惧患得患失》,自律是一种痛苦吗?","当你又忙又美,何惧患得患失,这本书关于女性的自我成长,从日常细节入手,教会我们应该,口何达到自己理想中的生活状态,书中对我来说最有用的一个观点,是关于自律,我们总是以为自律,是机械式的坚持,想想就痛苦,这本书告诉我们,自律并不苦,反而为人生遮挡了很多苦,因为吃不了熬夜的苦,于是选择早起,吃不了节食的苦,于是经常锻炼,吃不了无趣的苦,趣的苦,于是喜欢看书,当我们理解了这一点,也就能够把自律,当成一种心甘情愿的投入,心甘情愿才能理所当然,理所当然才会义无反顾,而那些我们向往的远方,在走好脚下的每一步路之后,自然会抵达,阅读是一件最重要的小事,我是 Amber分享好书"
60,1023,70,77,2020-04-20 20:32:44,"因为懂事,你受过哪些委届?","你有没有因为太懂事,而受过一些委屈,很多时候,我们会因为替别人考虑太多,而变得懂事,每个委屈的瞬间,都无法理直气壮地说出来,当我们的付出,渐渐被身边的人当作理所当然,其实每一份体贴背后,往往都是一个懂事的人,独自面对生活的残忍,真正的爱,会让一个懂事的人,变的温柔与勇敢,而不是让TA一步步妥协,所以,别让不懂事的人,辜负了你的懂事,我是 Amber,晚安"
59,549,31,27,2020-04-19 18:12:44,"《事实》,重新认识自已,FACTEULNES","今天要讲的是一本,会颠覆我们认知的书,事实,它也是比尔·盖茨,送给全美大学生的毕业礼物,书的开头就设置了13道选择题,看上去简单,旦是答案一定会颠覆你的认知,这本书提到啊,人类拥有过分情绪化的世界观,尤是我们会本能地,把事情想得更糟,比如说考试前,总会想到自己不及格的样子,做一个小手术,也会想到最坏的结果,我想读这本书的意义就是,教会我们学会系统化的思考,当我们跳出自以为是的真相,才能看到真正的事实,阅读是一件最重要的小事,我是 Amber分享好书"
58,193,16,3,2020-04-18 14:11:54,"《大话西方艺术史》,部勺勺有梗的极简艺术史","在这个一切讲究实用主义的时代,我们为什么仍然需要艺术,今天要讲的这一本书,就关于艺术,它叫做《大话西方艺术史》,和其他枯燥无味的书不同,这本书通俗诙谐地,讲透了整个艺术史,作者既揭秘了艺术背后的故事,又八卦了很多关于艺术的大师,比如说,蒙娜丽莎的微笑到底哪里好看,还有达芬奇为什么被称作,是史上最牛的左撇子,我想这本书的意义大概就是,让我们永不停止对美的追求,在少年时接触艺术,是为了让心灵充满情趣,这样一来,即使在最严酷的冬天,我们也不会忘记玫瑰的芳香,阅读是一件最重要的小事,我是 Amber,分享好书"
57,351,27,24,2020-04-17 20:21:57,"《月亮与六便士》,梦想和现实该如何抉择?","当梦想和现实生活,发生冲突的时候,你会做出怎样的选择,《月亮与六便士》的主人公,是一个事业有成,家庭美满的股票经纪人,但他在40岁的时候,放弃了拥有的一切,只身玄巴黎,追求遥不可及的绘画梦想,最终在穷困濠倒中,结束了一生,书中说,满地都是六便士,他却抬头看到了月亮,月亮是头顶上的梦想,六便士是低头可见的现实,读这部小说的意义可能就是,让我们思考两者的关系,生活中有人因为追求梦想,忽略了实际的情况,最后连柴米油盐的生活,都维持不了,也有人满眼都是六便士,为了金钱不择手段,最后迷失在对物质的追求中,我想虽然世界上,不存在正确的话法,但也许,手里握着六便士,闲来抬头看看月亮,才是我们可望又可及的生活,阅读是一件最重要的小事,我是 Amber,分享好书"
56,1524,51,105,2020-04-16 20:06:02,"毛最经典的五句话,Aun,天上飘落一粒沙,,每想你次,天上,成了太平,目30","今天要分享给大家,毛写过的最经典的五句话,《撤哈拉的故事》中写道,每想你一次,天上飘落一粒沙,从此形成了撒哈拉,天上就掉下一滴水,于是形成了太平详,梦里花落知多少》中写道,爱到底是什么东西,为什么那么心酸,那么苦痛,只要还能握住它,到s还是不肯放弃,到S也是甘心,《送你一匹马》中写道,我想哭的时候就哭,想笑的时候就笑,不求深刻,只求简单,雨季不再来》中写道,在我有生之日,做一个真诚的人,不放弃对生话的热爱和执着,在有限的时空里,过无限广大的目子,《我的宝贝》中写道,走得突然,我们来不及告别,这样也好,这样我们永远都不会告别,阅读是一件最重要的小事,我是 Amber,分享好书"
55,857,68,43,2020-04-14 21:37:02,感情里最心酸的事,"我想玄撤哈拉看雪,想玄奠桑比克看飞鸟,想玄乞力马扎罗看猎豹,我想玄你的心里,看看我自己,刚在一起的时候,你说你喜欢吃可乐鸡翅,即使我不会做饭,可就算怕切到手指,也要学着做给你吃,你说你喜欢安静的女孩,我从大大咧咧变得小心翼翼,看到你在打游戏,就算我需要你,也会忍住不玄烦你,原来我认为,变成你喜欢的样子,就会慢慢实现,我们梦想中的未来,唯独没有想到,这个东来,没有了你,残酷的是,我为了你把自己变得面目全,你却说,还是喜欢我原来的样子,我是 Amber,晚安"
54,1121,47,55,2020-04-13 19:16:51,"《千与千寻》,你再也不会遇到第二个我","朋友说前几天出门,遇到了前任,那天她正好穿的短裙,心里下意识有点慌张,因为以前,她每一次穿短裙出门的时候,前任总是板着脸,一会说天太冷,一会念叨不安全,但却没想到这一次,前任只是笑着对她说,其实你穿短裙的样子也挺好看的,这时候她才突然意识到,原来她能无数次的抱怨,不过是因为那个人的在意,而她也从东真正抗拒过那份关心,只不过,即便他曾经那样真切的喜欢过,但那种喜欢再也不会有第二次了,就像《千与千寻》中说的,你不会遇到第二个我,友情也好,爱情也罢,我是 Amber,晚安"
53,2709,175,311,2020-04-12 20:39:07,“我不想秽回你了”,"现在的我,再也不会秒回一个人的信息了,认前无论我有多忙,只要提示音响起,我就会放下一切玄回他的消息,但当我放下了做了一半的工作,抛弃了约好一起吃饭的朋友,却看到你告诉我说,你要玄吃饭了,你要玄忙了,其实我也很忙,我不是无所事事玩手机的时候,才会想起你,只不过你好像只有无聊的时候,才会想起我,《人间失格》里说,无论对谁太过热情,就增加了不被珍惜的概率,如果我每一次想念,都换不回你的珍惜,我每一次秒回,等来的都是已读,那我再也不要忙着想你,反正你只会忙着生话,也想玄见那个超级想我的人,而不是一直等一个,永远不会秒回我的人,我是 Amber,晚安"
52,1826,114,164,2020-04-11 20:06:28,"关于贫穷的爱情,如何抉择?","最近看到一个问题说,贫穷对于你来说,意味着什么,我看到有一个回答是,当我无牵无挂的时候,贫穷对我来说,就是吃馒头和牛排的区别,可当我爱上一个人的时候,我才会感受到,贫穷给我带来了多大的自卑感,可能这个世界上,最糟糕的事情之,就是知道自己配不上喜欢的那个人,就像两个人,并肩站在下雨天的屋檐下,其中,基至不敢先开口说,起走吧,因为他知道,自己连把伞都设有,想要爱一个人,总归要先有一把雨伞,别让你的枕头里,藏满了发霉的梦,梦里住着一个,无法拥有的人"
