id,评论ID,抖音号,评论内容,评论时间,评论获赞数,评论回复数,性别,年龄,地区,获赞数,关注数,粉丝数,作品数,动态数,粉丝数
1,Acolasiaｸﾞｯ,887518771,可惜现在网易云是初听不知曲中意，在听已是付费曲[流泪],2020-04-09 01:01:08,71,2,,,,,,,,,
2,背影,1284380667,我就没有过一起听歌的人，以前听歌听旋律，后来听歌才知自己已是这歌中人💔,2020-04-20 23:45:35,1,0,,,,,,,,,
3,用户4062204135863,2019727317,"记得高中时，中午不回宿舍睡觉，就在教室一起学习一会儿，两人，一MP3 ,一耳机，一起戴着学习一会，然后就听着歌趴在桌子上睡一会儿",2020-04-08 23:10:40,27,2,,,,,,,,,
4,哎呦喂!,78692828,陪你逛街，陪你看电影，陪你听歌，和你一起吐槽，给你暖脚，一起吃酸笋鸡，一起吃酸辣火锅，给你加好多好多的辣子，我都想能一直在你身边@南🍃客,2020-04-21 01:14:28,0,1,,,,,,,,,
5,素素扎心文案,1008176871,初听不知曲中意，再听已是曲中人。,2020-04-20 18:03:26,1,0,,,,,,,,,
6,冰点,660421790,[鼓掌][鼓掌][鼓掌],2020-04-19 07:06:45,0,0,,,,,,,,,
7,秋裤侠,1943856859,想起了唢呐,2020-04-19 01:26:39,1,0,,,,,,,,,
8,晓慧,1061670706,你不知道那种落寞的心情有多糟糕！记忆是美好的，我不想去破坏它！各自安好吧,2020-04-18 23:25:38,1,0,,,,,,,,,
9,花又开了,629888319,他说话不算数，离开很久了。我也坚持了好久了,2020-04-18 12:52:33,0,0,,,,,,,,,
10,其实,1330179558,如果我,2020-04-18 11:19:34,0,0,,,,,,,,,
11,Ivy,1061161516,一厢情愿的喜欢多么可笑。,2020-04-17 19:33:04,0,0,,,,,,,,,
12,暖暖的心,834696609,主播真的好温柔,2020-04-17 17:20:12,1,0,,,,,,,,,
13,✨咋吧咋吧小星星✨,923539273,终究成了兄弟[调皮]也挺好,2020-04-17 11:41:37,1,0,,,,,,,,,
14,雾ꦿ霾༻,869892920,小学没喜欢的人[我想静静],2020-04-17 00:08:24,0,0,,,,,,,,,
15,万笑笑,78167071,还记得幼儿园坐在他对面，是我最开心的童年回忆。[微笑],2020-04-16 21:17:47,0,0,,,,,,,,,
16,精选藏书阁,2319785901,关系已淡，回忆渐浓[捂脸],2020-04-16 19:14:22,0,0,,,,,,,,,
17,王小米,2894170547,初听不知曲中意，再听已是曲中人,2020-04-16 16:27:59,0,0,,,,,,,,,
18,Summer·A,1069424956,突然好想你,2020-04-16 08:05:12,3,0,,,,,,,,,
19,猫头鹰,3484446180,想你[呲牙][呲牙],2020-04-16 07:00:03,0,0,,,,,,,,,
20,瓜瓜,2370299221,以前听歌听的是旋律，现在听的是歌词,2020-04-15 22:27:25,0,0,,,,,,,,,
21,依旧灿烂的焦大人,3606713306,可以不在抖音听这个电台吗@掌阅电台,2020-04-15 13:38:07,0,0,,,,,,,,,
22,小婷儿,276797753,散了,2020-04-15 13:24:13,0,0,,,,,,,,,
23,*淡然＆,1027676603,[爱心],2020-04-15 11:59:35,0,0,,,,,,,,,
24,大荒里的孩子,1181898707,那特么是同桌,2020-04-15 07:40:53,1,0,,,,,,,,,
25,(๑´∀`๑),776689174,初听不知曲中意，再听已是付费曲[捂脸],2020-04-14 18:00:53,0,0,,,,,,,,,
26,贝加尔湖畔,1529807117,寻找的不是记性中的美好事物，而是记性本身,2020-04-14 12:21:03,0,0,,,,,,,,,
27,sq,168527530,蕊希吗？,2020-04-14 03:37:01,0,0,,,,,,,,,
