id,评论ID,抖音号,评论内容,评论时间,评论获赞数,评论回复数,性别,年龄,地区,获赞数,关注数,粉丝数,作品数,动态数,粉丝数
1,糖♛,842005409,世界上只有同类才能做朋友，志不同道不合的人往往只能在某个猎奇的时间段里做一阵开心的同伴。被时间的洪水淘过，最终仍然堆在一起的，一定是同样材质的石头,2020-04-17 22:14:50,65,3,,,,,,,,,
2,柒柒.,1023116066,室友是随机分配的，朋友是精挑细选的[灵机一动],2020-04-14 23:59:43,225,4,,,,,,,,,
3,Mr.seven,100697170,其实没必要刻意的去交朋友 朋友这个东西本来就是水到渠成的 我觉得如果没有遇到贴心的朋友 和孤独友好的相处也挺好的,2020-04-14 23:11:26,146,1,,,,,,,,,
4,对方正在输入…,380835317,你总会等到一份属于自己的偏爱 ，不论是友情爱情或者亲情,2020-04-14 20:53:42,293,4,,,,,,,,,
5,娜娜娜娜娜娜,795391291,@添福宝的大宝贝 @,2020-04-21 12:36:26,0,0,,,,,,,,,
6,小清新。,3520200329,@清欢 @记得笑. @✨✨✨✨✨,2020-04-21 12:29:50,0,0,,,,,,,,,
7,一见如故,1762536997,道不同不相为谋，圈子不同，不要硬融，做自己多好，总会吸引相同的人[调皮][调皮][调皮],2020-04-21 12:27:53,0,0,,,,,,,,,
8,B🌹R,391721350,同感,2020-04-21 12:13:05,0,0,,,,,,,,,
9,星移,1118292758,那些曲终却未散的人 一定要好好珍惜[爱心],2020-04-20 22:16:33,0,0,,,,,,,,,
10,萧,1049733876,@吃一个安定 我的宝贝朋友～,2020-04-20 22:16:09,0,1,,,,,,,,,
11,江君君君君君君,2310135557,姐姐长的有点像八月长安,2020-04-20 19:56:43,1,0,,,,,,,,,
12,旖旎,1117812779,不想开学啊啊啊！,2020-04-20 19:41:17,0,0,,,,,,,,,
13,烊羊吖♡,728921732,@mi manchi✨,2020-04-20 19:02:08,0,0,,,,,,,,,
14,墨沐宸,903743729,@喻,2020-04-20 17:48:35,1,0,,,,,,,,,
15,Fiveヾ 先森,173832476,男生基本都可以,2020-04-20 13:25:38,0,0,,,,,,,,,
16,$,778344559,舍友就是舍友，不可能是朋友！而朋友可以是舍友,2020-04-20 04:39:26,2,1,,,,,,,,,
17,罂娑,1478423872,我的舍友都很好，大二分宿舍，我们都选择还在一起，刚刚我们还在群里聊天[愉快],2020-04-20 04:27:41,0,0,,,,,,,,,
18,星辰博肖,389209627,宿舍只是一个睡觉的地方。,2020-04-19 23:31:38,1,0,,,,,,,,,
19,LEl,3562754551,我觉得看内心的感觉吧，不必勉强。虽然我们宿舍也会基本发有趣的东西没人回，感兴趣才搭理，但我们都知道是因为大家懒哈哈，相处很舒服。朋友不是看聊的多少而是相处的时候自己的状态，比如可以纵容你的懒[捂脸],2020-04-19 23:05:24,5,0,,,,,,,,,
20,学不下去想蒋丞,64131978,@Dylan,2020-04-19 22:35:02,1,0,,,,,,,,,
21,青柠🤪,357138586,晚安，姐姐,2020-04-19 22:34:55,0,0,,,,,,,,,
22,language,2254144434,可以啊 我就有一个[呲牙][呲牙],2020-04-19 22:24:33,1,0,,,,,,,,,
23,嫑,1126799480,@嫑：世界上只有同类才能做朋友，志不同道不合的人往往只能在某个猎奇的时间段里做一阵开心的同伴。被时间的洪水淘过，最终仍然堆在一起的，一定是同样材质的小石头,2020-04-19 20:21:27,0,0,,,,,,,,,
24,whisper,3445496857,我高中就是这样的,2020-04-19 19:42:21,1,0,,,,,,,,,
25,可苦可乐,1942042843,是的，我大学并不开心,2020-04-19 19:29:51,4,0,,,,,,,,,
26,网络音乐推荐,957150598,谢谢大家的支持,2020-04-19 19:19:39,0,0,,,,,,,,,
27,FIEE,1181201896,可能性格不和吧，没关系自己做好该做的,2020-04-19 18:17:11,0,2,,,,,,,,,
28,烟光流瞳,3543190704,"你的面前没有海
潮起潮落因为心🍃",2020-04-19 18:05:18,2,0,,,,,,,,,
29,未了,1134740403,珍惜生命中遇到的每一个人，善待我的人我倍感珍惜，不喜欢我的人无须迎合。因为每个人都是自己的人生的主角，何须委屈自己。[比心],2020-04-19 17:41:30,2,1,,,,,,,,,
30,Y今天下雨了嘛,1869525047,我这儿为啥听不到声音[呆无辜],2020-04-19 17:10:24,0,2,,,,,,,,,
31,牛奶  。,2318842650,@🍨小雪球,2020-04-19 15:56:39,1,1,,,,,,,,,
32,小峰峰😍,1457411370,@猫丞丞🐱,2020-04-19 15:49:37,0,1,,,,,,,,,
33,夏不摘樱桃.,197690723,@盛夏很甜. 室友是室友 朋友是朋友,2020-04-19 15:24:28,2,0,,,,,,,,,
34,白小白,3042507668,三个人总有一个人是多余的[皱眉][皱眉],2020-04-19 15:10:15,5,1,,,,,,,,,
35,丹,1106618720,太对了，真的觉得朋友跟我好像，是一样的人,2020-04-19 15:04:11,0,0,,,,,,,,,
