id,获赞数,评论数,分享数,上架时间,title,字幕
62,6659,305,659,2020-04-18 20:41:02,"没有在一起,也好》,为什么相爱的人不能在一起","男孩和女孩在车站告别,两个人一句句地,但谁也没有想过回头,女孩离开之后,男孩哭着说,挺恨自己无能的,所以我没有巾法理直气壮地对她说,你给我爱情就好,我有面包,虽然我就是觉得除了我谁都配不上她,但我总不能阻止她,奔向离开我以后更好的生活吧,没有在一起,也好》中写道,不是所有的相遇都会相爱,不是所有的相爱都能帕守,这段感情从来就看不到来,可真的分什手的那一天,还是怕听到那一句,“我们可不可以不分手?”,这一路我明白了,爱一个人真的需要资格,有的人不能留在你的生命里,就是不般配,不可以,不能够,可明知道会分开,我还是想陪你走一段,没有结果的路,我是 Amber,魔安"
61,9122,487,343,2020-04-17 20:42:47,成年人的友尽,"你说,好朋友就是从不忌讳,有什么就说什么,所以你说我个子矮,说我不会打拾,还说我跟新买的长裙不搭,还说我跟男朋友不般配,我都当成是你的心直口快,尽管那些话落在我的耳朵里,差点把我的耳膜削破,我也只能跟着你傻傻地笑着,笑弯了腰,连眼泪都笑出来,后来我不想笑了,你说我开不起玩笑,不把你当朋友,说你只是心直口快罢了,我也曾妄慰自己你不是故意的,是我隐藏的太好,你只是没有看到那是我心底的脆弱,只不过,你每次都能戳到我的痛处,然后指着它哈哈大笑,所以,你我都明白,你所谓的心直口快,只是知道,冂该往嘟里捅,寸最痛,我是 Amber,魔安"
60,6649,475,615,2020-04-16 20:52:31,"永不永不说再见》,主动久了,请适可而止","疫情还没结束,很多感情就先结束了,本来他只是不怎么回信息,现在连见面也成了难题,这段无法见画的日子,每一次都是你先挑起话题,他再不紧不慢地回上一句,他从来都不会主动找你聊天,就算你忍上一整天不给他发消息,也等不到到他的来信,你就像从隶在他的生活里出现过一样,悄无声息地销声匿迹,你跟自己说,可能是他太忙了,也可能是他手机坏了,但他留在别人朋友图下面的评论,却在时刻提醒着你,你只是在他心里没有那么重要,永不永不说再见》中有一句话,醒一点吧,世界上没有卡完的事,只有走死的心,感情多脆弱,你什么都没做,就什么都没了,我是 Amber,魔安"
59,7977,466,166,2020-04-14 20:47:57,"〈你好,旧时光》,室友能成为朋友吗?","收到一条女生的私信,她问大学室友能当朋友吗,刚开始她看到什么有趣的事,都想要分享给大家,但每次都没有一丝回应,她只能装作无事发生,原本有说有笑的寝室,每当她推门进去,热闹的氛围都会戛然而止,每个人都继续忙碌自己的事情,满怀希望的尝试,在一次次地失望中落空,其实室友是随机分配的,但朋友是精挑细进的,计不是所有的关系都能成为朋友,你好,旧时光》中说,世界上只有同类寸能够做朋友,志不同道不台的人,往往只能在甚个猎奇的时间段里,做一阵开心的同伴,被时间的洪水淘过,最终仍然堆在一起的,定是同样树质的小石头,当你无法和室友,建立亲密关系时,无需刻意去迎台,毕竟世界这么大,别把自己,关在寝室这小小的天地里,我是 Amber,晚安"
58,13000,678,1243,2020-04-13 20:37:23,"我亦飘零久,你的懂事有错吗","你是一个懂事的人吗,自己喜欢什么,想要什么,从来都是放在心里,别人不问起,你也不会主动地表达,即使是在难受的时候,你也不敢作,不敢闹,生怕因为自己的任性,而失去什么,我亦飘零久》中有一句话,生活里有一点我不是太喜欢,就是,它总让更懂事的人,来承担糟糕的感受和结果,你的懂事让你变得没人心疼,不是因为你不值得,而是他们都觉得你不需要,他们习惯了你的付出,习惯了你的忍让,哪怕偶尔做出一些让你无法接受的事,也觉得你一定可以理解,所以如果懂事,是牺性自己的感受,是隐思所有的情绪,我宁愿你任性,大胆地胡闹,因为你的懂事,会让真正爱你的人,感到心疼,我是 Amber,晚安"
57,6225,395,318,2020-04-10 20:34:16,"送你一颗子弹》,你会为了喜欢的人改变自己吗","他喜欢短发,你就把自己留了十几年的头发,一门莉断,然后怅然若失地,望着镜子里自己空荡荡的发尾,他说你胖,你就每天花五个小时健身,听着肚子里的咕噜声,咬咬牙把刚点开的外卖软件给关掉,但最后他还是离开了,原因竟然是你吃不了爆辣的小龙虾,尽管你宁愿思着,胃里火燎般的疼痛去尝试,后来有个人不喜欢吃辣,喜欢长发陨腰,可惜你再也没有了,为一个人改变的勇气和精力,也许这世间最遗憾的事,就是遇到对的人之后,却发现早已经把最好的自己,给了那个毫无关系的人,就像《送你一颗子弹》中说的那样,那些与你毫无关系的人,就是毫无关系的,就算你努力经营这段关系,也没用,我是Ambe,晓安"
56,6453,299,409,2020-04-08 20:49:17,"〈荒野》,最怕突然听懂一首歌","那个陪你听歌的人,如今还在身边吗,还记得上学的时候,面对喜欢的人,总是一不小心就手忙脚乱,视线短暂相交也会脸红心跳很久,最亲密的接触就是课间十分钟里,两个人并排坐着低头不语,耳机线的两端,是青涩的喜欢,暧咔得刚刚好,都说最怕在某个年纪,突然听懂一首歌,初听不知曲中意,再听已是曲中人,以前听歌,听的是旋律,后丧听歌,听的是歌词,再后来,听的是故事,而现在,听的是自己,荒野》中有这样一句话,寻找的不是记忆中的美好事物,而是记忆本身,有些人,淡了关系,却浓了回忆,你就像是一首单曲循环的情歌,值得我用一生丧听懂,我是 Amber,晚妄"
55,36000,1743,940,2020-04-07 21:05:51,"长大后的你,怎么样了","要说长大之后最让我最难过的事,大概就是我的一个朋友,我曾经见过她走路带风,呢过她大方地摊着好友的肩膀,谈笑风生,呢过她做起事来,从来不在意别人的看法,眉宇之间尽是潇洒,怎么说哐,她无拘无束,应似飞鸿踏雪泥,她孤芳自赏,浮云不碍日头红,可后来,她走在街上,不再敢逆着人群,做什么事都小心翼翼,唯恶别人不开心,变成了那个,说话看别人脸色,走路不敢抬头的姑娘,再没有了以前的潇洒肆意和开怀,也没了以前,无所拘末的心,你说可惜吗,我也觉得可惜,可惜,这个人是我,也是你,我是 Amber,晓安"
54,54000,3277,2307,2020-04-06 21:22:07,"拜伦诗选,分手后再呢面是什么感受","男孩和女孩分手半年,有一天在街角遇呢,正在抽~的男孩,惊慌地把手藏在身后,女孩笑着说,你慌什么,我现在还能管你吗,男孩尴尬地抓了抓头发,有点不好意思,他说记得以前,我已经把减了,但还是偶尔会抽两根逗逗你,就是觉得你凶巴巴骂我的样子很可爱,说完他垂下了头,嘟噜了一句,后来没人管我了,又抽得多了,你是不是心里猛地紧了一下,然后一下子想起t,春逝》中说,若我会见到你,事隔经年,我该如何和你招呼,以眼泪,以沉默,再呢到你的那种感觉,可能就像是我赶了很远的路,终于到家了,可是我知道,歇一歇,还得继续走,很遗憾,这条路起点是你,终点不是你,我是Ambe,晓安"
53,31000,1323,2663,2020-04-05 21:20:59,"〈她的二三事》,要不,你就直接拒绝我吧","有人说,一扇不愿意为你开的门,你一直敲是不礼貔的,可奇怪的是,有些门虽然不为你打开,但只要你敲,它就有回应,有些人虽然不喜欢你,但就是不肯直接拒绝你,就像你们一起看过很多电影,过无数次天,也暧咔了很长一段时间,就在你以为一切都顺利发展的时候,他却跟你说,对不起,我还没做好谈恋爱的准备,但谢谢你喜欢我,你以为你失去了他,其实你从来没得到过,他跟你说的对不起,不过是飞机场延误飞机之后,那种抱款的通知,跟你说的谢谢你,不过是两块五一瓶的红茶,上写的谢谢参与,她的二三事》中有一句话,甜言蜜语,多数说给了不相干的人听,最终,你不过是他茶余饭后的消遣罢了,我是 Amber,安"
