id,获赞数,评论数,分享数,上架时间,title,字幕
111,6482,360,666,2020-04-17 15:15:06,"《一间自己的房间》,房子,是诗和远方的底气","现在中国女性,购房者比倒高达46%,几乎和男性持千,可能是越长大越发现,人心易变吧,口袋里的钱包和钥匙,往往比伴侣那句,我会永远爱你,来得更加踏实,这本伍尔夫的,就提到了,鯀明独立的女性,从拥有一间,属于自己的房间开始,这一观点,这个房间不是谙于社会的世故,而是冷酷现实里,成年人的安全威,不用在街头游荡,而是回到自己的房子里,痛快地哭一场,当你晚起或晚归,不用担心抢厕所或没热水,而是悠然地按看自己的节奏,当你遇到喜欢的人,如果他富甲一方,你不用觉得自己高攀,如果他一无所有,你也可以说,房子我有,你给我爱情就好,所以女孩儿们,先谍生再谍爱,关注我,陪你读人生"
110,19000,918,2720,2020-04-14 18:21:31,"《我是余欢水》,成年人的世界没有容易二字","有人说,个合格的成年人,从来不是为自己活看,最近看了《我是余欢水》,里面的剧情,就像我们生活的缩影,兄弟借钱不还,领导喝五吆六,同事不怀好意,成年人的世界没有容易二字,有句话是这样说的,不要大声责骂年轻人,他们会立刻辞职,但你可以往S里骂中年人,尤其是有车有房有娃的,人到中年,最好的年纪,却承受着最大的压力,都说成年人的崩溃,不是在每个大哭的夜晚,而是在每个忍住不哭的清晨,新的一天睁开双賬,身边都是依靠自己的人,却没有一个人能够让自己依靠,余欢水”是你是我,也是每个小心翼翼活看的成年人,人生这场闯关游戏,我们可能永远都不知道,什么时候才能迎来通关,但这一路的心酸血泪,却为身边的人撑起了一片天,如果生活没有明天,如果岁月可以回头,希望你我都不是余欢水,关注我,陪你读人生"
109,14000,1372,2326,2020-04-13 18:22:22,"《新头王后》,别让毒鸡汤害了你","有人说,最动听的情话是,你负责貌美如花,我负责赚钱养家,我却觉得,这是最毒的情话,这句话本质上是一个合同,哪天女方不再貌美如花了,就属于单方面违约,那男人也就有权解除合同,转而和另一个貌美如花的女性,建立合作关糸,有多少天真的女孩以为,我养你”会给自己带来安全廄,但当容颜迟暮,之前那句浓情蜜意的“我养你”,终会变成满腔指责的“是我养你的”,你会发现,生活中的大部分风雨,都是那个你视若一切的男人带来的,正如《新头王后》中写道的,她不知道所有命运赠送的礼物,早已在暗中标好了价格,女孩们,如果说想拥有一个心安的归宿,就要有不依附于任何人的底气,毕竟,你以何种方式得到的,都将会以何种方式失去,关注我,陪你读人生"
108,11000,457,951,2020-04-10 18:07:42,"《沉默的巡游》,世界上没有真正的感同身受,b","越长大越明白,这个世界上没有真正的威同身受,的确,生活中不如意的事十之八九,但可以与人诉说的不足二三,东野圭吾的最新代表作,《沉默的巡游》,就讲了一个无法诉说的“委屈,为了保护丈夫的梦想,妻子不敢说出学生被害的真相,甚至为了这个秘密,被LS、被QH,在无奈的沉默中,个人面对不堪的现实,在内疚和自责中日复一日的煎熬,那些沉默中忍受的悲痛,别人能听到的,可能不足事实的10%,看到的最多30%,认真了解后,能接触到的也就可能60%,反复思考后可能也无法理解100%,千个人眼里,有一千个哈姆雷特,都难以组合成一个真实的旬己,世人皆有千百张面具,但还是希望,有人能认识面具之下的你,关注我,陪你读人生"
107,5317,144,334,2020-04-09 18:44:04,"越来越喜欢那种,有回应的爱情","你知道吗,只有当对方在收到消息,十秒之内进行回复,对话框上才显示“对方正在输入,当超过十秒时,为了避免不必要的等待,糸统不会再显示回复状态,感情啊,讲究的就是一个及时,在最喜欢的时候,得到最想要的回应,不要让彼此等太久,当我给你分享搞笑视频的肘候,我希望你能陪我一起大笑,而不是发一个哭笑不得的表情,当我看到好玩的梗跟你互动肘,我希望你能陪我一起入戏,而不是觉得无聊,或许这些都只是一些琐碎的小事,但因为你的回应,切变成有趣的回忆,这一切,在你的眼里永远都有意义,关注我,陪你读人生"
106,23000,1035,2831,2020-04-05 18:56:34,"《在路上》,你的人生通往何方","如果可以在出生时,选择你人生的路,你会选择哪一条路,圣人的路,疯子的路,彩虹的路,还是随便什么路,《在路上》这本书中的主角,就选择了一条一直在路上的路,他说,因为我喜欢的事情太多了,最后只有失败,就像流星一样不俘地奔波,直到堅落,除了失败,我什么也不能给予别人,但这样的失败并不荒诞,因为他身边有志同道合的朋友,回头有一路的故事,低头有坚定的脚步,抬头有清晰的远方,生活最悲哀的不是我和你,进行一场没有结果的大冒险,而是我固执地,抱看曾经的真心话不肯放手,条条大路通罗马,无论选择哪一条路,我们总会在路上,关注我,陪你读人生"
105,8880,524,640,2020-03-31 18:28:47,"《爱的艺术》,爱情是一场不计后果的大冒险","爱情中最痛苦的可能就是,明知道爱错了人,还舍不得放手,等到爱被伤害消耗殆尽,又舍不得自已过去的付出,还是不肯放手,《爱的艺术》中有这样一句话,再也找不出像爱情那样,以如此巨大的希望开始,又以如此高比例的失败而告终,在爱上一个人之前,总在告诫自己,即使未来分开了,也要过得很好,却忘记了爱情里,从来不存在及时止损,当遇见了那个人,就算会落得伤痕累累,还是会义无反顾的付出所有,爱情最迷人的地方,或许就在于宅的不确定性,虽然我不知道下一刻,是跌落低谷还是坠入深海,但当我看向你的时候,我对你无法抵抗,可能真正的爱就是一场,不计后果的大冒险,我做不到及肘止损,但心廿自负盈亏"
104,75000,4279,14000,2020-03-29 19:23:05,"《爱的艺术》,男生为什么总是难忘掉初恋","为什么男生总是忘不了初恋,我想,或许不是男生忘不掉那个人,而是忘不了,曾经因为自己的不成熟,辜负过的那一段感情吧,但是你知道吗,个男生一生会有两次初恋,第一次是,他初次喜欢上一个人的时候,他很莽撞,想把全世界都给她,但是他错把需要当成了爱,第二次是,他想和一个人结婚的时候,这个时候他已经栽过了跟头,受过了伤,知道了爱一个人,是把你变成我的需要,《爱的艺术》里写道,幼稚的爱是,我需要你,所以我爱你,成熟的爱是,我爱你,所以我需要你,可爱情里最遗憾的就是,那个教会他爱的人,往往得不到他的成熟和温柔,人生的出场顺序很重要,如果可以,我想晚一步遇到你,关注我,陪你读人生"
103,52000,2242,6186,2020-03-28 19:35:27,无,无
102,15000,682,1554,2020-03-20 19:39:54,"《安家》,手良免费,但不廉价","看完《安家》,印象最深刻的就是,叹血鬼亲戚”霸占老洋房,1.5个亿的老洋房,张口就要分5千万,全然不顾被无偿收留,几十年的恩情啊,其实我们身边有很多这样的人,因为是亲戚,发达了就应该帮自己一把,没钱了就该借钱,失业了就该帮忙找工作,但贪婪往往是欲壑难平,好事做多了,反而会被当成理所应当,都说吃亏是福,但面对看不到我们吃亏的人,付出和退让换回的,不一定是威激,很可能是对方的得寸进尺,每个人的善良和爱都是免费的,但从来都不是廉价的,让我们的善良保留一点锋芒,别让它从保护好人的铠甲,变成了敌人手里的利刃,我是晓鹿,关注我,陪你读人生"
